Idiom	Context	Meaning	Explanation	Language
ignorance is bliss	Sometimes I just decide to ignore the news for a few days. Ignorance is bliss, I tell you.	proverb It is better to remain unaware or ignorant of things that may otherwise cause one stress; if you don't know about something, you don't need to worry about it. The expression comes from a 1742 Thomas Gray poem "Ode on a Distant Prospect of Eton College": "Where ignorance is bliss, 'tis folly to be wise."  	Sprichwort Es ist besser, sich der Dinge, die sonst Stress verursachen könnten, nicht bewusst zu sein oder sie nicht zu kennen; Wenn Sie etwas nicht wissen, brauchen Sie sich darüber keine Sorgen zu machen. Der Ausdruck stammt aus einem Gedicht von Thomas Gray aus dem Jahr 1742 „Ode an eine ferne Aussicht auf das Eton College“: „Wo Unwissenheit Glückseligkeit ist, ist es Torheit, weise zu sein.“	German
cutting edge	You may not be the fastest, but you have a cutting edge—your stamina.	An advantage due to superior skill, ability, or resources. 	Una ventaja debida a una habilidad, habilidad o recursos superiores.	Spanish
cutting edge	You may not be the fastest, but you have a cutting edge—your stamina.	An advantage due to superior skill, ability, or resources. 	Ein Vorteil aufgrund überlegener Fähigkeiten, Fertigkeiten oder Ressourcen.	German
in cold blood	This was no crime of passion—he killed them in cold blood, as they slept!	Ruthlessly and without feeling any remorse. Typically said of a murder that is committed in a calm and deliberate manner. 	Sin piedad y sin sentir ningún remordimiento. Típicamente dicho de un asesinato que se comete de manera tranquila y deliberada.	Spanish
in cold blood	This was no crime of passion—he killed them in cold blood, as they slept!	Ruthlessly and without feeling any remorse. Typically said of a murder that is committed in a calm and deliberate manner. 	Rücksichtslos und ohne jegliche Reue. Wird normalerweise von einem Mord gesprochen, der ruhig und vorsätzlich begangen wird.	German
up in the air	Becky and I were supposed get brunch this weekend, but things are up in the air now because she's not feeling well.	Uncertain; subject to change.  	Incierto; sujeto a cambios.	Spanish
up in the air	Becky and I were supposed get brunch this weekend, but things are up in the air now because she's not feeling well.	Uncertain; subject to change.  	Unsicher; Änderungen vorbehalten.	German
out of the blue	She seemed so surprised by the news that it must have come out of the blue.	Completely unexpectedly. 	Completamente inesperado.	Spanish
out of the blue	She seemed so surprised by the news that it must have come out of the blue.	Completely unexpectedly. 	Völlig unerwartet.	German
trouble and strife	How's the trouble and strife? I haven't seen her in a while.	Wife. The phrase comes from Cockney rhyming slang. Primarily heard in UK. 	Esposa. La frase proviene de la jerga cockney que rima. Se escucha principalmente en el Reino Unido.	Spanish
trouble and strife	How's the trouble and strife? I haven't seen her in a while.	Wife. The phrase comes from Cockney rhyming slang. Primarily heard in UK. 	Gattin. Der Ausdruck stammt aus dem Cockney-Reim-Slang. Hauptsächlich in Großbritannien zu hören.	German
dirty work	Stop filing and get one of the interns to do that dirty work.	An unpleasant, distasteful, or thankless task or job. For example, Jane complained that she had to do all the dirty work while her colleagues took long vacations . [First half of 1900s] 	Una tarea o trabajo desagradable, desagradable o ingrato. Por ejemplo, Jane se quejaba de que tenía que hacer todo el trabajo sucio mientras sus compañeros se tomaban largas vacaciones. [Primera mitad del siglo XX]	Spanish
dirty work	Stop filing and get one of the interns to do that dirty work.	An unpleasant, distasteful, or thankless task or job. For example, Jane complained that she had to do all the dirty work while her colleagues took long vacations . [First half of 1900s] 	Eine unangenehme, geschmacklose oder undankbare Aufgabe oder Arbeit. Jane beschwerte sich zum Beispiel darüber, dass sie die ganze Drecksarbeit erledigen musste, während ihre Kollegen lange Urlaub machten. [Erste Hälfte des 20. Jahrhunderts]	German
cock and bull story	When I questioned Wendy about her recent tardiness, she gave me some cock-and-bull story about how her train took the wrong track and she had to hitchhike to work from the station across town.	A wildly exaggerated or falsified story or explanation. 	Una historia o explicación tremendamente exagerada o falsificada.	Spanish
cock and bull story	When I questioned Wendy about her recent tardiness, she gave me some cock-and-bull story about how her train took the wrong track and she had to hitchhike to work from the station across town.	A wildly exaggerated or falsified story or explanation. 	Eine stark übertriebene oder gefälschte Geschichte oder Erklärung.	German
now or never	Once we start our careers, it will be harder and harder to take a backpacking trip like this. It's now or never!	At the current time or not at all. Said of an action that must be done now or will not be able to be done in the future.  	En el momento actual o no. Dicho de una acción que se debe hacer ahora o no se podrá hacer en el futuro.	Spanish
now or never	Once we start our careers, it will be harder and harder to take a backpacking trip like this. It's now or never!	At the current time or not at all. Said of an action that must be done now or will not be able to be done in the future.  	Zum jetzigen Zeitpunkt oder gar nicht. Gemeint ist eine Aktion, die jetzt durchgeführt werden muss oder in Zukunft nicht mehr durchgeführt werden kann.	German
money talks	If you want us to help you out, here's some advice—money talks.	A phrase emphasizing the persuasive power of money. 	Una frase que enfatiza el poder persuasivo del dinero.	Spanish
money talks	If you want us to help you out, here's some advice—money talks.	A phrase emphasizing the persuasive power of money. 	Ein Satz, der die Überzeugungskraft des Geldes betont.	German
rat race	Bob got tired of the rat race. He's retired and gone to the country.	a fierce struggle for success, especially in one's career or business.  	una lucha feroz por el éxito, especialmente en la propia carrera o negocio.	Spanish
rat race	Bob got tired of the rat race. He's retired and gone to the country.	a fierce struggle for success, especially in one's career or business.  	ein erbitterter Kampf um Erfolg, insbesondere im beruflichen oder geschäftlichen Bereich.	German
rough time	John went through a rough time after losing both his job and his wife during the same year.	A challenging period during which one struggles to do or cope with something.  	Un período desafiante durante el cual uno lucha por hacer o afrontar algo.	Spanish
rough time	John went through a rough time after losing both his job and his wife during the same year.	A challenging period during which one struggles to do or cope with something.  	Eine herausfordernde Zeit, in der man Schwierigkeiten hat, etwas zu tun oder zu bewältigen.	German
armed to the teeth	They thought the criminal only had a knife, but he was actually armed to the teeth.	Possessing many weapons.  	Poseyendo muchas armas.	Spanish
armed to the teeth	They thought the criminal only had a knife, but he was actually armed to the teeth.	Possessing many weapons.  	Besitzt viele Waffen.	German
level playing field	A handicap in golf serves to create a level playing field between players of varying degrees of skill.	A situation that is balanced and fair.  	Una situación equilibrada y justa.	Spanish
level playing field	A handicap in golf serves to create a level playing field between players of varying degrees of skill.	A situation that is balanced and fair.  	Eine Situation, die ausgewogen und fair ist.	German
behind closed doors	You can't tell anyone what happens behind closed doors here—it's classified information.	In secret.   	En secreto.	Spanish
behind closed doors	You can't tell anyone what happens behind closed doors here—it's classified information.	In secret.   	Im Geheimen.	German
a steal	Can you believe I got that fancy table for only $15? What a steal!	Something purchased for a low price; a bargain. 	Algo comprado por un precio bajo; una ganga.	Spanish
a steal	Can you believe I got that fancy table for only $15? What a steal!	Something purchased for a low price; a bargain. 	Etwas, das zu einem niedrigen Preis gekauft wurde; ein Schnäppchen.	German
a slap on the wrist	Bill hasn't been late to school that many times, so just give him a slap on the wrist for his tardiness.	A mild punishment or warning.  	Un castigo o advertencia leve.	Spanish
a slap on the wrist	Bill hasn't been late to school that many times, so just give him a slap on the wrist for his tardiness.	A mild punishment or warning.  	Eine milde Strafe oder Warnung.	German
wild and woolly	Things get a little wild and woolly on a Friday evening at Wally's place. The ride home was a little wild and woolly.	Inf. exciting. 	inf. emocionante.	Spanish
wild and woolly	Things get a little wild and woolly on a Friday evening at Wally's place. The ride home was a little wild and woolly.	Inf. exciting. 	Inf. spannend.	German
get a life	You are such a twit! Get a life!	Inf. Change your life radically! Find something interesting to do or say!  	inf. ¡Cambia tu vida radicalmente! ¡Encuentra algo interesante que hacer o decir!	Spanish
get a life	You are such a twit! Get a life!	Inf. Change your life radically! Find something interesting to do or say!  	Inf. Verändere dein Leben radikal! Finden Sie etwas Interessantes zu tun oder zu sagen!	German
mea culpa	You're right, I should have done more thorough research before making such bold accusations. Mea culpa!	An admission or expression of guilt or personal error. The Latin phrase literally means "through my fault." 	Una admisión o expresión de culpa o error personal. La frase latina significa literalmente "por mi culpa".	Spanish
mea culpa	You're right, I should have done more thorough research before making such bold accusations. Mea culpa!	An admission or expression of guilt or personal error. The Latin phrase literally means "through my fault." 	Ein Eingeständnis oder Ausdruck von Schuld oder persönlichem Fehler. Der lateinische Ausdruck bedeutet wörtlich „durch meine Schuld“.	German
under the table	Athletes sometimes lied, or took money under the table.	In secret, as in They paid her under the table so as to avoid taxes. This term alludes to money being passed under a table in some shady transaction, such as a bribe. [Mid-1900s] Also see under the counter. 	En secreto, como en Le pagaban por debajo de la mesa para evadir impuestos. Este término alude a dinero que se pasa debajo de la mesa en alguna transacción turbia, como un soborno. [Mediados de 1900] Véase también debajo del mostrador.	Spanish
under the table	Athletes sometimes lied, or took money under the table.	In secret, as in They paid her under the table so as to avoid taxes. This term alludes to money being passed under a table in some shady transaction, such as a bribe. [Mid-1900s] Also see under the counter. 	Im Geheimen, wie in Sie bezahlten sie unter der Hand, um Steuern zu vermeiden. Dieser Begriff bezieht sich auf Geld, das im Rahmen einer zwielichtigen Transaktion, beispielsweise einer Bestechung, unter einem Tisch weitergegeben wird. [Mitte des 20. Jahrhunderts] Siehe auch unter der Theke.	German
let bygones be bygones	I said I was sorry—can't we let bygones be bygones?	stop focusing on something that happened in the past usually a source of conflict or tension. ?	dejar de centrarse en algo que sucedió en el pasado que suele ser fuente de conflicto o tensión. ?	Spanish
let bygones be bygones	I said I was sorry—can't we let bygones be bygones?	stop focusing on something that happened in the past usually a source of conflict or tension. ?	Hören Sie auf, sich auf etwas zu konzentrieren, das in der Vergangenheit passiert ist und normalerweise eine Quelle von Konflikten oder Spannungen darstellt. ?	German
familiarity breeds contempt	A: "Those two teams have built up quite a rivalry over the years." B: "They play in the same division, and familiarity breeds contempt."	Repeated exposure to someone or something often creates a contentious relationship.  	La exposición repetida a alguien o algo a menudo crea una relación conflictiva.	Spanish
familiarity breeds contempt	A: "Those two teams have built up quite a rivalry over the years." B: "They play in the same division, and familiarity breeds contempt."	Repeated exposure to someone or something often creates a contentious relationship.  	Wiederholter Kontakt mit jemandem oder etwas führt oft zu einer konfliktreichen Beziehung.	German
on the same wavelength	I was surprised that we became friends so quickly, but we're just always on the same wavelength.	In harmony or agreement; thinking or behaving in similar ways.  	En armonía o acuerdo; pensar o comportarse de manera similar.	Spanish
on the same wavelength	I was surprised that we became friends so quickly, but we're just always on the same wavelength.	In harmony or agreement; thinking or behaving in similar ways.  	In Harmonie oder Übereinstimmung; auf ähnliche Weise denken oder sich verhalten.	German
dead meat	I heard it was you who slashed my tires—you're dead meat!	slang The target of forthcoming violence or ill-will. This phrase is usually issued as a threat.  	argot El objetivo de la próxima violencia o mala voluntad. Esta frase suele emitirse como una amenaza.	Spanish
dead meat	I heard it was you who slashed my tires—you're dead meat!	slang The target of forthcoming violence or ill-will. This phrase is usually issued as a threat.  	Slang Das Ziel bevorstehender Gewalt oder Böswilligkeit. Dieser Satz wird normalerweise als Drohung ausgesprochen.	German
north and south	Hey, watch what comes out of your north and south around your granny.	The mouth. The phrase comes from rhyming slang in which "north and south" rhymes with "mouth." Primarily heard in UK. 	La boca. La frase proviene de la jerga rimada en la que "norte y sur" rima con "boca". Se escucha principalmente en el Reino Unido.	Spanish
north and south	Hey, watch what comes out of your north and south around your granny.	The mouth. The phrase comes from rhyming slang in which "north and south" rhymes with "mouth." Primarily heard in UK. 	Der Mund. Der Ausdruck stammt aus dem reimenden Slang, in dem sich „Nord und Süd“ auf „Mund“ reimt. Hauptsächlich in Großbritannien zu hören.	German
how come	A: "I'm sorry, but I'm not letting you go to the party tonight." B: "Aw, Mom! How come?"	Why? Why is it that something is the case?  ?	¿Por qué? ¿Por qué es así? ?	Spanish
how come	A: "I'm sorry, but I'm not letting you go to the party tonight." B: "Aw, Mom! How come?"	Why? Why is it that something is the case?  ?	Warum? Woran liegt es, dass etwas der Fall ist? ?	German
last but not least	And last but not least, our stalwart IT staff—this issue never would have been published without them!	A phrase used to emphasize that someone or something is still significant, despite being mentioned last in a list of people or things. 	Frase utilizada para enfatizar que alguien o algo sigue siendo importante, a pesar de estar mencionado en último lugar en una lista de personas o cosas.	Spanish
last but not least	And last but not least, our stalwart IT staff—this issue never would have been published without them!	A phrase used to emphasize that someone or something is still significant, despite being mentioned last in a list of people or things. 	Eine Phrase, die verwendet wird, um zu betonen, dass jemand oder etwas immer noch von Bedeutung ist, auch wenn es in einer Liste von Personen oder Dingen zuletzt erwähnt wird.	German
under the weather	I'd been feeling a bit under the weather for a couple of weeks.	Ailing, ill; also, suffering from a hangover. For example, She said she was under the weather and couldn't make it to the meeting. This expression presumably alludes to the influence of the weather on one's health. [Early 1800s] The same term is sometimes used as a euphemism for being drunk, as in After four drinks, Ellen was a bit under the weather. 	Enfermo, enfermo; además, sufre de resaca. Por ejemplo, dijo que estaba enferma y que no podía asistir a la reunión. Esta expresión presumiblemente alude a la influencia del clima en la salud. [Principios de 1800] El mismo término se utiliza a veces como eufemismo para referirse a estar borracho, como en Después de cuatro tragos, Ellen estaba un poco enferma.	Spanish
under the weather	I'd been feeling a bit under the weather for a couple of weeks.	Ailing, ill; also, suffering from a hangover. For example, She said she was under the weather and couldn't make it to the meeting. This expression presumably alludes to the influence of the weather on one's health. [Early 1800s] The same term is sometimes used as a euphemism for being drunk, as in After four drinks, Ellen was a bit under the weather. 	Krank, krank; Außerdem leide ich unter einem Kater. Sie sagte zum Beispiel, dass ihr das Wetter schlecht sei und sie nicht zum Treffen kommen könne. Dieser Ausdruck spielt vermutlich auf den Einfluss des Wetters auf die Gesundheit an. [Anfang des 19. Jahrhunderts] Derselbe Begriff wird manchmal als Euphemismus für betrunken sein verwendet, wie in „Nach vier Drinks war Ellen etwas unter dem Wetter“.	German
beyond price	This safari will be an experience beyond price!	Priceless. Describing something that is so valuable, no price can be put on it. 	No tiene precio. Describir algo que es tan valioso que no se le puede poner precio.	Spanish
beyond price	This safari will be an experience beyond price!	Priceless. Describing something that is so valuable, no price can be put on it. 	Unbezahlbar. Etwas zu beschreiben, das so wertvoll ist, dass es keinen Preis dafür geben kann.	German
for love nor money	My brother-in-law is a very sweet guy, but I wouldn't hire him for love nor money.	Not under any circumstances or conditions; no matter what happens.  	No bajo ninguna circunstancia o condición; no importa lo que pase.	Spanish
for love nor money	My brother-in-law is a very sweet guy, but I wouldn't hire him for love nor money.	Not under any circumstances or conditions; no matter what happens.  	Unter keinen Umständen oder Bedingungen; egal was passiert.	German
under canvas	There are dozens of vendors who sell their goods under canvas at our market each Saturday.	Under or within a tent. 	Debajo o dentro de una tienda de campaña.	Spanish
under canvas	There are dozens of vendors who sell their goods under canvas at our market each Saturday.	Under or within a tent. 	Unter oder innerhalb eines Zeltes.	German
better late than never	After two weeks, I finally got a return phone call from that company. Better late than never, I guess.	The delayed occurrence or achievement of something that one desires is better than it not happening at all. This set phrase is often used to acknowledge perhaps begrudgingly that something has finally occurred.  ?	El retraso en la realización o realización de algo que uno desea es mejor que no suceder en absoluto. Esta frase hecha se utiliza a menudo para reconocer, quizás a regañadientes, que finalmente algo ha ocurrido. ?	Spanish
better late than never	After two weeks, I finally got a return phone call from that company. Better late than never, I guess.	The delayed occurrence or achievement of something that one desires is better than it not happening at all. This set phrase is often used to acknowledge perhaps begrudgingly that something has finally occurred.  ?	Das verzögerte Eintreten oder Erreichen von etwas, das man sich wünscht, ist besser, als dass es überhaupt nicht geschieht. Dieser Satz wird oft verwendet, um vielleicht widerwillig anzuerkennen, dass endlich etwas passiert ist. ?	German
a breath of fresh air	After dating a series of boring men, Tom's adventurous nature was like a breath of fresh air to Sarah.	Refreshingly new, different, and pleasing.  	Refrescantemente nuevo, diferente y placentero.	Spanish
a breath of fresh air	After dating a series of boring men, Tom's adventurous nature was like a breath of fresh air to Sarah.	Refreshingly new, different, and pleasing.  	Erfrischend neu, anders und angenehm.	German
building blocks	Amino acids are the building blocks of proteins.	One of the individual entities contributing to a whole:component, constituent, element, factor, ingredient, integrant, part.	Una de las entidades individuales que contribuyen a un todo: componente, constituyente, elemento, factor, ingrediente, integrante, parte.	Spanish
building blocks	Amino acids are the building blocks of proteins.	One of the individual entities contributing to a whole:component, constituent, element, factor, ingredient, integrant, part.	Eine der einzelnen Einheiten, die zu einem Ganzen beitragen: Komponente, Konstituent, Element, Faktor, Zutat, Integrant, Teil.	German
calendar year	For tax purposes, what were your medical expenses in the last calendar year?	The period of January 1 to December 31, as constitutes a particular year. ?	El período comprendido entre el 1 de enero y el 31 de diciembre, constituye un año determinado. ?	Spanish
calendar year	For tax purposes, what were your medical expenses in the last calendar year?	The period of January 1 to December 31, as constitutes a particular year. ?	Der Zeitraum vom 1. Januar bis 31. Dezember stellt ein bestimmtes Jahr dar. ?	German
a whole new ball game	Living away from home is a whole new ballgame for most young adults.	A situation that is completely different from what one is used to or expecting.  	Una situación completamente diferente a lo que uno está acostumbrado o espera.	Spanish
a whole new ball game	Living away from home is a whole new ballgame for most young adults.	A situation that is completely different from what one is used to or expecting.  	Eine Situation, die völlig anders ist, als man es gewohnt ist oder erwartet.	German
through thick and thin	She's always been there for me through thick and thin, so I can't turn my back on her now.	Despite difficult or troubling circumstances or setbacks; through good and bad times.  	A pesar de circunstancias o contratiempos difíciles o preocupantes; a través de buenos y malos momentos.	Spanish
through thick and thin	She's always been there for me through thick and thin, so I can't turn my back on her now.	Despite difficult or troubling circumstances or setbacks; through good and bad times.  	Trotz schwieriger oder beunruhigender Umstände oder Rückschläge; durch gute und schlechte Zeiten.	German
beats me	A: "How long has this milk been in the fridge?" B: "Beats me. Check the expiration date."	slang A response when one does not know the answer to a question.   	jerga Una respuesta cuando uno no sabe la respuesta a una pregunta.	Spanish
beats me	A: "How long has this milk been in the fridge?" B: "Beats me. Check the expiration date."	slang A response when one does not know the answer to a question.   	Slang Eine Antwort, wenn man die Antwort auf eine Frage nicht weiß.	German
off the beaten track	We found a nice little Italian restaurant off the beaten track.	away from the frequently traveled routes. *Typically: be ~; go ~; travel ~. 	lejos de las rutas más transitadas. *Típicamente: ser ~; ir ~; viajar ~.	Spanish
off the beaten track	We found a nice little Italian restaurant off the beaten track.	away from the frequently traveled routes. *Typically: be ~; go ~; travel ~. 	abseits der häufig befahrenen Routen. *Typischerweise: be ~; geh ~; reisen ~.	German
keep up the good work	The design is looking really good so far, Martha. Keep up the good work!	continue performing or executing one's duties to an established degree of excellence or adequacy. Usually used as a phrase of praise and encouragement.  	continuar realizando o ejecutando sus deberes a un grado establecido de excelencia o adecuación. Suele utilizarse como frase de elogio y aliento.	Spanish
keep up the good work	The design is looking really good so far, Martha. Keep up the good work!	continue performing or executing one's duties to an established degree of excellence or adequacy. Usually used as a phrase of praise and encouragement.  	weiterhin seine Pflichten in einem festgelegten Maß an Exzellenz oder Angemessenheit erfüllen oder ausführen. Wird normalerweise als Ausdruck des Lobes und der Ermutigung verwendet.	German
al fresco	Kelly planned a wonderful al fresco luncheon for her bridesmaids.	Outside in the fresh air. "Al fresco" is Italian for "in the fresh air."  	Afuera al aire libre. "Al fresco" en italiano significa "al aire libre".	Spanish
al fresco	Kelly planned a wonderful al fresco luncheon for her bridesmaids.	Outside in the fresh air. "Al fresco" is Italian for "in the fresh air."  	Draußen an der frischen Luft. „Al fresco“ ist italienisch und bedeutet „an der frischen Luft“.	German
be a sport	Be a sport and get me another drink, will you?	be helpful and amiable. In this usage, the phrase usually precedes a request. ?	sea ​​servicial y amable. En este uso, la frase suele preceder a una solicitud. ?	Spanish
be a sport	Be a sport and get me another drink, will you?	be helpful and amiable. In this usage, the phrase usually precedes a request. ?	Seien Sie hilfsbereit und freundlich. In dieser Verwendung steht die Phrase normalerweise vor einer Anfrage. ?	German
word for word	After seeing the play only once, he was able to repeat the monologue word for word. It was amazing.	In or with the same exact words; verbatim.  	En o con las mismas palabras exactas; literal.	Spanish
word for word	After seeing the play only once, he was able to repeat the monologue word for word. It was amazing.	In or with the same exact words; verbatim.  	In oder mit genau denselben Worten; wörtlich.	German
down to earth	I was surprised that she was so sweet and down-to-earth, given her considerable wealth.	Unpretentious and sensible. 	Sencillo y sensato.	Spanish
down to earth	I was surprised that she was so sweet and down-to-earth, given her considerable wealth.	Unpretentious and sensible. 	Unprätentiös und vernünftig.	German
in a trice	Our storewide sale will only be available as supplies last, so be sure to hurry—these deals are going to be gone in a trice!	At once; nearly immediately or very quickly or suddenly.  	En seguida; casi inmediatamente o muy rápidamente o repentinamente.	Spanish
in a trice	Our storewide sale will only be available as supplies last, so be sure to hurry—these deals are going to be gone in a trice!	At once; nearly immediately or very quickly or suddenly.  	Auf einmal; fast sofort oder sehr schnell oder plötzlich.	German
sink or swim	After I've studied and learned all I can, I have to take the test and sink or swim. It's too late to help John now. It's sink or swim for him.	to fail or succeed. Alludes to the choices available to someone who has fallen into the water. 	fracasar o tener éxito. Alude a las opciones que tiene alguien que ha caído al agua.	Spanish
sink or swim	After I've studied and learned all I can, I have to take the test and sink or swim. It's too late to help John now. It's sink or swim for him.	to fail or succeed. Alludes to the choices available to someone who has fallen into the water. 	scheitern oder Erfolg haben. Spielt auf die Wahlmöglichkeiten an, die jemandem zur Verfügung stehen, der ins Wasser gefallen ist.	German
to a fine art	The English have raised the simple act of making a cup of tea to a fine art.	In a manner or form that is masterful.  	De una manera o forma que sea magistral.	Spanish
to a fine art	The English have raised the simple act of making a cup of tea to a fine art.	In a manner or form that is masterful.  	Auf eine Weise oder Form, die meisterhaft ist.	German
strapped for cash	Would you mind covering the cost of dinner? I'm a little strapped for cash at the moment.	Without any or very much money at the moment; broke, especially temporarily.  	Sin nada o mucho dinero en este momento; se rompió, especialmente temporalmente.	Spanish
strapped for cash	Would you mind covering the cost of dinner? I'm a little strapped for cash at the moment.	Without any or very much money at the moment; broke, especially temporarily.  	Im Moment ohne oder sehr viel Geld; pleite, vor allem vorübergehend.	German
all that jazz	If we're going to paint this weekend, we need rollers, drop cloths, and all that jazz.	And everything else; and many related things.  	Y todo lo demás; y muchas cosas relacionadas.	Spanish
all that jazz	If we're going to paint this weekend, we need rollers, drop cloths, and all that jazz.	And everything else; and many related things.  	Und alles andere; und viele verwandte Dinge.	German
piece of cake	I thought I was going to fail the test, but it turned out to be a piece of cake!	A very easy task or accomplishment. 	Una tarea o logro muy fácil.	Spanish
piece of cake	I thought I was going to fail the test, but it turned out to be a piece of cake!	A very easy task or accomplishment. 	Eine sehr einfache Aufgabe oder Leistung.	German
vale of tears	I'm only glad that she is at peace and can leave this vale of tears behind.	Life or the world at large regarded as a source of sorrow, strife, or tragedy.  	La vida o el mundo en general se consideran una fuente de dolor, conflicto o tragedia.	Spanish
vale of tears	I'm only glad that she is at peace and can leave this vale of tears behind.	Life or the world at large regarded as a source of sorrow, strife, or tragedy.  	Das Leben oder die Welt als Ganzes wird als Quelle von Kummer, Streit oder Tragödie angesehen.	German
bright as a button	Ted's as bright as a button, so he'll find a solution to this problem.	Intelligent and quick-thinking.  	Inteligente y de pensamiento rápido.	Spanish
bright as a button	Ted's as bright as a button, so he'll find a solution to this problem.	Intelligent and quick-thinking.  	Intelligent und schnell denkend.	German
once in a blue moon	Peter only comes out for a drink once in blue moon now that he has kids.	Very rarely.  	Muy raramente.	Spanish
once in a blue moon	Peter only comes out for a drink once in blue moon now that he has kids.	Very rarely.  	Sehr selten.	German
not for a minute	Not for a minute did I think this would be a winning ticket, so I was totally gobsmacked to find out I'd won the jackpot!	Not for any length of time; not at any point; not at all or in any capacity.  	No por ningún período de tiempo; en ningún momento; en absoluto o en cualquier capacidad.	Spanish
not for a minute	Not for a minute did I think this would be a winning ticket, so I was totally gobsmacked to find out I'd won the jackpot!	Not for any length of time; not at any point; not at all or in any capacity.  	Nicht für längere Zeit; zu keinem Zeitpunkt; überhaupt nicht oder in irgendeiner Weise.	German
safety in numbers	Don't go into the city alone at night—there's safety in numbers.	The idea that one is less likely to be harmed while in a group than by oneself. 	La idea de que es menos probable que uno sufra daño mientras está en un grupo que si está solo.	Spanish
safety in numbers	Don't go into the city alone at night—there's safety in numbers.	The idea that one is less likely to be harmed while in a group than by oneself. 	Die Vorstellung, dass es weniger wahrscheinlich ist, dass man in einer Gruppe Schaden nimmt, als allein.	German
pain in the neck	You know, Jack, you may be my friend, but you can be a real pain in the neck sometimes!	An especially irritating, aggravating, or obnoxious person, thing, or situation.  	Una persona, cosa o situación especialmente irritante, agravante o desagradable.	Spanish
pain in the neck	You know, Jack, you may be my friend, but you can be a real pain in the neck sometimes!	An especially irritating, aggravating, or obnoxious person, thing, or situation.  	Eine besonders irritierende, ärgerliche oder widerwärtige Person, Sache oder Situation.	German
the spirit of the law	It's quite apparent that the CEOs of these companies, while technically acting legally, have violated the spirit of the law in order to further their own profits at the expense of their clients and employees.	The intended meaning of a law by those who wrote it, as opposed to a literal interpretation thereof. 	El significado pretendido de una ley por quienes la escribieron, a diferencia de una interpretación literal de la misma.	Spanish
the spirit of the law	It's quite apparent that the CEOs of these companies, while technically acting legally, have violated the spirit of the law in order to further their own profits at the expense of their clients and employees.	The intended meaning of a law by those who wrote it, as opposed to a literal interpretation thereof. 	Die beabsichtigte Bedeutung eines Gesetzes durch diejenigen, die es verfasst haben, im Gegensatz zu einer wörtlichen Auslegung desselben.	German
an eye for an eye	Some countries have laws that punish crimes with an eye for an eye, most often that killing someone will result in one's death.	Compensation or retribution that is or should be equal to the injury or offense that was originally dealt. The saying comes from various passages in the Bible, including in Exodus, Leviticus, and Deuteronomy, and is sometimes expanded as "an eye for an eye, a tooth for a tooth." 	Compensación o retribución que es o debe ser igual al daño o delito que se cometió originalmente. El dicho proviene de varios pasajes de la Biblia, incluidos Éxodo, Levítico y Deuteronomio, y a veces se amplía como "ojo por ojo, diente por diente".	Spanish
an eye for an eye	Some countries have laws that punish crimes with an eye for an eye, most often that killing someone will result in one's death.	Compensation or retribution that is or should be equal to the injury or offense that was originally dealt. The saying comes from various passages in the Bible, including in Exodus, Leviticus, and Deuteronomy, and is sometimes expanded as "an eye for an eye, a tooth for a tooth." 	Eine Entschädigung oder Vergeltung, die der ursprünglich zugefügten Verletzung oder Straftat entspricht oder entsprechen sollte. Das Sprichwort stammt aus verschiedenen Bibelstellen, unter anderem aus Exodus, Levitikus und Deuteronomium, und wird manchmal erweitert als „Auge um Auge, Zahn um Zahn“.	German
face the music	I told you not to try to sneak in, and now that you've been caught, you're just going to have to face the music.	experience negative repercussions for one's actions or words, especially those that one would expect to incur punishment.  	Experimentar repercusiones negativas por las acciones o palabras de uno, especialmente aquellas que uno esperaría que incurrieran en castigo.	Spanish
face the music	I told you not to try to sneak in, and now that you've been caught, you're just going to have to face the music.	experience negative repercussions for one's actions or words, especially those that one would expect to incur punishment.  	negative Auswirkungen auf die eigenen Handlungen oder Worte erfahren, insbesondere solche, bei denen man erwarten würde, dass sie bestraft werden.	German
a fly on the wall	I would love to be a fly on the wall in John's house when he finds out his wife bought a new car without telling him.	One who is able to observe something closely but invisibly and without interfering in the situation. 	Aquel que es capaz de observar algo de cerca pero de forma invisible y sin interferir en la situación.	Spanish
a fly on the wall	I would love to be a fly on the wall in John's house when he finds out his wife bought a new car without telling him.	One who is able to observe something closely but invisibly and without interfering in the situation. 	Einer, der in der Lage ist, etwas genau, aber unsichtbar und ohne Einmischung in die Situation zu beobachten.	German
come hell or high water	I don't care if I have to drive through a blizzard—we are getting to this wedding come hell or high water!	No matter what. In spite of any obstacle. 	No importa qué. A pesar de cualquier obstáculo.	Spanish
come hell or high water	I don't care if I have to drive through a blizzard—we are getting to this wedding come hell or high water!	No matter what. In spite of any obstacle. 	Egal was. Trotz aller Hindernisse.	German
wishful thinking	Ugh, look at this traffic! I thought we would be on time today, but I guess that was just wishful thinking.	The act of thinking that or hoping that something will happen or be the case when in reality it is unlikely. 	El acto de pensar o esperar que algo suceda o suceda cuando en realidad es poco probable.	Spanish
wishful thinking	Ugh, look at this traffic! I thought we would be on time today, but I guess that was just wishful thinking.	The act of thinking that or hoping that something will happen or be the case when in reality it is unlikely. 	Der Akt des Denkens oder Hoffens, dass etwas passieren oder der Fall sein wird, obwohl es in Wirklichkeit unwahrscheinlich ist.	German
